Time,Open,High,Low,Close,Volume
2023-11-01 10:15:00,1803.85,1804.08,1803.57,1803.74,338.8527
2023-11-01 10:30:00,1801.26,1802.93,1800.37,1802.19,730.3942
2023-11-01 10:45:00,1799.21,1800.59,1798.99,1799.87,925.7853
2023-11-01 11:00:00,1796.29,1796.3,1792.46,1795.67,2294.6596
2023-11-01 11:15:00,1797.1,1797.2,1796.16,1796.65,711.9928
2023-11-01 11:30:00,1795.13,1796.45,1794.16,1795.67,630.7316
2023-11-01 11:45:00,1798.15,1798.63,1798.0,1798.45,300.5858
2023-11-01 12:00:00,1798.91,1800.8,1798.9,1799.79,977.1293
2023-11-01 12:15:00,1797.14,1797.5,1796.0,1796.97,1576.3634
2023-11-01 12:30:00,1793.95,1795.07,1793.46,1794.89,523.3748
2023-11-01 12:45:00,1802.53,1802.65,1800.29,1800.41,782.8193
2023-11-01 13:00:00,1813.82,1817.62,1812.84,1815.69,5487.6086
2023-11-01 13:15:00,1812.51,1815.75,1812.35,1815.09,2079.7605
2023-11-01 13:30:00,1811.26,1815.93,1805.09,1808.08,4706.6775
2023-11-01 13:45:00,1800.09,1801.84,1795.43,1801.44,2749.0942
2023-11-01 14:00:00,1798.85,1802.42,1797.49,1801.92,1794.6648
2023-11-01 14:15:00,1802.25,1803.87,1800.14,1802.85,840.5251
2023-11-01 14:30:00,1807.06,1808.23,1804.06,1805.52,1102.0542
2023-11-01 14:45:00,1806.48,1807.34,1804.91,1805.11,509.0951
2023-11-01 15:00:00,1789.0,1789.95,1783.49,1786.16,6208.1982
2023-11-01 15:15:00,1792.5,1792.98,1790.0,1791.6,1598.0089
2023-11-01 15:30:00,1792.69,1793.26,1791.0,1791.14,719.9286
2023-11-01 15:45:00,1792.66,1793.19,1787.89,1789.49,2694.345
2023-11-01 16:00:00,1791.76,1793.62,1791.71,1792.3,634.7034
2023-11-01 16:15:00,1794.28,1795.65,1794.28,1795.64,688.7642
2023-11-01 16:30:00,1798.54,1799.73,1797.38,1799.03,1112.8953
2023-11-01 16:45:00,1796.08,1797.22,1793.98,1795.63,1512.4675
2023-11-01 17:00:00,1797.33,1797.71,1796.75,1796.98,809.1901
2023-11-01 17:15:00,1797.91,1800.81,1797.84,1800.81,981.3897
2023-11-01 17:30:00,1798.11,1800.05,1797.0,1797.67,580.8875
2023-11-01 17:45:00,1797.84,1801.0,1797.83,1800.98,1608.2806
2023-11-01 18:00:00,1806.05,1808.0,1802.82,1807.52,1721.2103
2023-11-01 18:15:00,1811.16,1817.77,1811.15,1816.57,4175.3847
2023-11-01 18:30:00,1818.86,1821.02,1818.69,1818.71,3083.39
2023-11-01 18:45:00,1818.4,1821.45,1806.99,1814.03,5172.6522
2023-11-01 19:00:00,1817.53,1823.91,1817.36,1820.2,1981.7047
2023-11-01 19:15:00,1825.34,1827.47,1817.46,1817.51,2714.7339
2023-11-01 19:30:00,1829.94,1849.0,1829.94,1844.96,14156.0576
2023-11-01 19:45:00,1838.77,1839.0,1829.0,1834.77,5536.6647
2023-11-01 20:00:00,1830.98,1836.17,1830.98,1835.9,2117.7513
2023-11-01 20:15:00,1847.9,1853.84,1845.92,1847.07,3674.0204
2023-11-01 20:30:00,1845.96,1846.0,1842.35,1844.95,6225.8099
2023-11-01 20:45:00,1842.15,1850.0,1842.14,1844.41,5391.9182
2023-11-01 21:00:00,1839.99,1855.0,1839.82,1853.79,7033.5343
2023-11-01 21:15:00,1843.22,1848.55,1840.63,1847.63,2725.1158
2023-11-01 21:30:00,1842.17,1847.55,1840.27,1847.3,2348.6078
2023-11-01 21:45:00,1846.44,1846.44,1840.13,1840.87,1911.8388
2023-11-01 22:00:00,1837.95,1845.63,1837.95,1843.42,1611.776
2023-11-01 22:15:00,1851.46,1856.03,1849.87,1855.81,2484.6673
2023-11-01 22:30:00,1852.42,1852.51,1848.77,1850.5,1590.567
2023-11-01 22:45:00,1845.69,1845.77,1838.58,1843.21,3030.1021
2023-11-01 23:00:00,1841.45,1843.37,1839.81,1843.36,1111.7991
2023-11-01 23:15:00,1842.49,1843.82,1841.12,1843.8,1089.5466
2023-11-01 23:30:00,1845.75,1848.0,1845.65,1846.39,1115.4933
2023-11-01 23:45:00,1842.91,1845.19,1841.72,1844.84,1012.7918
2023-11-02 00:00:00,1845.31,1847.0,1844.39,1846.99,461.9071
2023-11-02 00:15:00,1844.32,1848.5,1844.21,1847.8,1178.1041
2023-11-02 00:30:00,1849.8,1852.14,1848.69,1850.0,1770.1574
2023-11-02 00:45:00,1842.84,1844.02,1840.29,1842.02,1744.0524
2023-11-02 01:00:00,1847.04,1848.53,1845.44,1847.57,933.4267
2023-11-02 01:15:00,1849.52,1850.0,1848.0,1849.43,773.3294
2023-11-02 01:30:00,1858.71,1866.23,1855.62,1866.22,3889.077
2023-11-02 01:45:00,1859.27,1863.99,1859.04,1863.98,1413.9697
2023-11-02 02:00:00,1855.84,1856.96,1855.06,1855.65,750.7395
2023-11-02 02:15:00,1851.0,1853.05,1851.0,1852.09,567.4275
2023-11-02 02:30:00,1854.09,1854.66,1852.3,1852.63,1301.0697
2023-11-02 02:45:00,1855.96,1862.3,1855.35,1859.12,2216.7707
2023-11-02 03:00:00,1865.24,1866.19,1862.5,1865.18,1565.2003
2023-11-02 03:15:00,1863.34,1872.49,1861.08,1869.92,3812.8988
2023-11-02 03:30:00,1866.94,1868.66,1863.76,1863.95,2170.9583
2023-11-02 03:45:00,1862.45,1863.23,1860.35,1860.87,1039.2952
2023-11-02 04:00:00,1860.43,1860.44,1857.33,1858.29,734.1836
2023-11-02 04:15:00,1858.96,1859.84,1858.34,1859.09,511.6308
2023-11-02 04:30:00,1856.27,1856.62,1854.96,1855.62,471.8477
2023-11-02 04:45:00,1855.71,1856.39,1853.82,1853.83,874.1583
2023-11-02 05:00:00,1852.23,1852.46,1850.09,1850.61,1088.6881
2023-11-02 05:15:00,1848.36,1848.56,1844.23,1844.61,1393.5052
2023-11-02 05:30:00,1841.63,1842.05,1835.48,1840.0,3409.9802
2023-11-02 05:45:00,1839.93,1841.18,1838.0,1839.21,1281.075
2023-11-02 06:00:00,1838.0,1838.76,1834.75,1834.75,1508.5009
2023-11-02 06:15:00,1837.72,1838.72,1835.67,1837.46,1532.1008
2023-11-02 06:30:00,1838.27,1839.11,1837.7,1838.66,754.332
2023-11-02 06:45:00,1836.55,1836.92,1832.82,1833.69,1891.5719
2023-11-02 07:00:00,1836.0,1836.0,1834.65,1834.76,1319.5695
2023-11-02 07:15:00,1837.39,1837.78,1836.26,1837.57,875.5428
2023-11-02 07:30:00,1835.74,1835.75,1834.32,1834.98,579.8009
2023-11-02 07:45:00,1836.99,1836.99,1832.94,1833.06,1087.2564
2023-11-02 08:00:00,1833.3,1835.5,1832.36,1834.85,808.8711
2023-11-02 08:15:00,1824.62,1827.39,1820.53,1826.4,3951.1242
2023-11-02 08:30:00,1830.5,1832.37,1827.73,1828.66,1170.3311
2023-11-02 08:45:00,1830.18,1830.81,1829.36,1829.83,362.6904
2023-11-02 09:00:00,1831.67,1833.07,1831.67,1832.42,1093.7914
2023-11-02 09:15:00,1831.88,1832.5,1831.22,1832.27,392.9703
2023-11-02 09:30:00,1830.82,1832.43,1830.81,1832.0,895.1
2023-11-02 09:45:00,1832.98,1834.78,1832.96,1834.53,837.3191
